SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
168,CHANEL,COCO CHANEL MADEMOISELLE,"Orange, Bergamot, Grapefruit","Rose, Jasmine, Litchi","Patchouli, Vanilla, Musk","Coco Chanel Mademoiselle by Chanel is a captivating fragrance that opens with orange, bergamot, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of patchouli, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
169,CHANEL,ALLURE CHANEL SPORT,"Orange, Aldehydes, Mandarin","Neroli, Pepper, Cedarwood","Vanilla, Tonka Bean, Musk","Allure Chanel Sport by Chanel is a captivating fragrance that opens with orange, aldehydes, creating a fresh and inviting first impression. The heart reveals neroli, pepper, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
170,CHANEL,PLATINUM EGOIST,"Lavender, Rosemary, Neroli","Geranium, Clary Sage, Galbanum","Oakmoss, Vetiver, Cedarwood","Platinum Egoist by Chanel is a captivating fragrance that opens with lavender, rosemary, creating a fresh and inviting first impression. The heart reveals geranium, clary sage, adding depth and sophistication, while the base of oakmoss, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
171,CHANEL,No. 1 Lâ€™eau Rouge,"Citrus Notes, Red Berries","Rose, Jasmine, Orange Blossom","Musk, Tonka Bean, Sandalwood","No. 1 Lâ€™Eau Rouge by Chanel is a captivating fragrance that opens with citrus notes, red berries, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of musk, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
172,CHANEL,PARIS VENISE,"Orange, Bergamot","Neroli, Ylang-Ylang","Tonka Bean, Vanilla, Musk","Paris Venise by Chanel is a captivating fragrance that opens with orange, bergamot, creating a fresh and inviting first impression. The heart reveals neroli, ylang-ylang, adding depth and sophistication, while the base of tonka bean, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
173,CHANEL,CHANCE,"Pink Pepper, Lemon, Pineapple","Jasmine, Iris, Hyacinth","Patchouli, Vetiver, Musk","Chance by Chanel is a captivating fragrance that opens with pink pepper, lemon, creating a fresh and inviting first impression. The heart reveals jasmine, iris, adding depth and sophistication, while the base of patchouli, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
174,CHANEL,COCO CHANEL,"Mandarin, Orange Blossom, Coriander","Jasmine, Mimosa, Rose","Patchouli, Amber, Sandalwood","Coco Chanel by Chanel is a captivating fragrance that opens with mandarin, orange blossom, creating a fresh and inviting first impression. The heart reveals jasmine, mimosa, adding depth and sophistication, while the base of patchouli, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
175,CHERGUI,SERGE LUTENS,"Hay, Honey, Tobacco","Iris, Rose, Incense","Amber, Sandalwood, Musk","Serge Lutens by Chergui is a captivating fragrance that opens with hay, honey, creating a fresh and inviting first impression. The heart reveals iris, rose, adding depth and sophistication, while the base of amber, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
176,CHOPARD,OUD MALIKI,"Grapefruit, Lavender","Tobacco, Spices, Leather","Oud, Amber, Dark Woods","Oud Maliki by Chopard is a captivating fragrance that opens with grapefruit, lavender, creating a fresh and inviting first impression. The heart reveals tobacco, spices, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
177,CHOPARD,AMBER MALIKI,"Incense, Lavender","Amber, Benzoin, Labdanum","Vanilla, Sandalwood, Musk","Amber Maliki by Chopard is a captivating fragrance that opens with incense, lavender, creating a fresh and inviting first impression. The heart reveals amber, benzoin, adding depth and sophistication, while the base of vanilla, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
178,CLINIQUE,HAPPY MEN,"Lime, Green Notes, Mandarin","Jasmine, Freesia, Lily","Cedarwood, Musk, Amber","Happy Men by Clinique is a captivating fragrance that opens with lime, green notes, creating a fresh and inviting first impression. The heart reveals jasmine, freesia, adding depth and sophistication, while the base of cedarwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
179,CLINIQUE,HAPPY WOMEN,"Orange, Grapefruit, Apple","Freesia, Lily, Rose","Magnolia, Musk, Amber","Happy Women by Clinique is a captivating fragrance that opens with orange, grapefruit, creating a fresh and inviting first impression. The heart reveals freesia, lily, adding depth and sophistication, while the base of magnolia, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
180,CLIVE CHRISTIAN,TOWN&COUNTRY,"Lemon, Clary Sage","Cypress, Ambergris, Juniper","Cedarwood, Sandalwood, Musk","Town&Country by Clive Christian is a captivating fragrance that opens with lemon, clary sage, creating a fresh and inviting first impression. The heart reveals cypress, ambergris, adding depth and sophistication, while the base of cedarwood, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
181,CLIVE CHRISTIAN,BLONDE AMBER,"Bergamot, Pink Pepper","Iris, Jasmine, Heliotrope","Amber, Vanilla, Musk","Blonde Amber by Clive Christian is a captivating fragrance that opens with bergamot, pink pepper, creating a fresh and inviting first impression. The heart reveals iris, jasmine, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
182,CLIVE CHRISTIAN,RED TEA,"Bergamot, Lemon","Red Tea, Mate, Violet","Cedarwood, Musk, Amber","Red Tea by Clive Christian is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals red tea, mate, adding depth and sophistication, while the base of cedarwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
183,CLIVE CHRISTIAN,MATSUTAKE,"Bergamot, Spices","Mushroom, Incense, Wood","Amber, Patchouli, Musk","Matsutake by Clive Christian is a captivating fragrance that opens with bergamot, spices, creating a fresh and inviting first impression. The heart reveals mushroom, incense, adding depth and sophistication, while the base of amber, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
184,CLIVE CRISTIAN,NO.1,"Bergamot, Lime, Mandarin","Rose, Jasmine, Ylang-Ylang","Sandalwood, Vanilla, Amber","No.1 by Clive Cristian is a captivating fragrance that opens with bergamot, lime, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of sandalwood, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
185,COMMES DE GARCONS,WONDERWOOD,"Bergamot, Pepper","Cedarwood, Vetiver, Guaiac Wood","Sandalwood, Oud, Amber","Wonderwood by Commes De Garcons is a captivating fragrance that opens with bergamot, pepper, creating a fresh and inviting first impression. The heart reveals cedarwood, vetiver, adding depth and sophistication, while the base of sandalwood, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
186,CREATION,PISTCHIO MUSK,"Pistachio, Almond, Bergamot","Jasmine, Heliotrope, Milk Accord","Vanilla, Musk, Tonka Bean","Pistchio Musk by Creation is a captivating fragrance that opens with pistachio, almond, creating a fresh and inviting first impression. The heart reveals jasmine, heliotrope, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
187,CREATION,OLD SPICE SHULTON,"Orange, Nutmeg, Cinnamon","Carnation, Geranium, Jasmine","Musk, Amber, Vanilla","Old Spice Shulton by Creation is a captivating fragrance that opens with orange, nutmeg, creating a fresh and inviting first impression. The heart reveals carnation, geranium, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
188,CREATION,MUKHALAT AZRAAN,"Saffron, Rose","Oud, Sandalwood, Patchouli","Amber, Musk, Vanilla","Mukhalat Azraan by Creation is a captivating fragrance that opens with saffron, rose, creating a fresh and inviting first impression. The heart reveals oud, sandalwood, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
189,CREATION,MUKHALAT AL LAVAL,"Rose, Citrus","Oud, Amber, Sandalwood","Musk, Vanilla, Resin","Mukhalat Al Laval by Creation is a captivating fragrance that opens with rose, citrus, creating a fresh and inviting first impression. The heart reveals oud, amber, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
190,CREED,CENTAURUS,"Bergamot, Pink Pepper","Jasmine, Patchouli, Vetiver","Amber, Musk, Leather","Centaurus by Creed is a captivating fragrance that opens with bergamot, pink pepper, creating a fresh and inviting first impression. The heart reveals jasmine, patchouli, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
191,CREED,ROYAL OUD,"Lemon, Pink Pepper, Bergamot","Cedarwood, Galbanum, Angelica","Oud, Sandalwood, Musk","Royal Oud by Creed is a captivating fragrance that opens with lemon, pink pepper, creating a fresh and inviting first impression. The heart reveals cedarwood, galbanum, adding depth and sophistication, while the base of oud, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
192,CREED,OUD ZARIAN,"Saffron, Bergamot","Rose, Oud, Patchouli","Amber, Musk, Sandalwood","Oud Zarian by Creed is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
193,CREED,AVENTUS,"Pineapple, Bergamot, Blackcurrant","Birch, Jasmine, Patchouli","Musk, Oakmoss, Ambergris","Aventus by Creed is a captivating fragrance that opens with pineapple, bergamot, creating a fresh and inviting first impression. The heart reveals birch, jasmine, adding depth and sophistication, while the base of musk, oakmoss leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
194,CREED,SILVER MOUNTAIN WATER,"Bergamot, Mandarin, Blackcurrant","Green Tea, Ozone, Black Tea","Musk, Sandalwood, Petitgrain","Silver Mountain Water by Creed is a captivating fragrance that opens with bergamot, mandarin, creating a fresh and inviting first impression. The heart reveals green tea, ozone, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
195,CREED,GREEN IRISH TWEED,"Lemon, Verbena, Iris","Violet Leaf, Green Notes","Sandalwood, Ambergris, Musk","Green Irish Tweed by Creed is a captivating fragrance that opens with lemon, verbena, creating a fresh and inviting first impression. The heart reveals violet leaf, green notes, adding depth and sophistication, while the base of sandalwood, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
196,CREED,ROYAL WATER,"Citrus, Mint, Bergamot","Juniper, Basil, Pepper","Musk, Ambergris, Cedarwood","Royal Water by Creed is a captivating fragrance that opens with citrus, mint, creating a fresh and inviting first impression. The heart reveals juniper, basil, adding depth and sophistication, while the base of musk, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
197,CREED,HIMALAYAN,"Grapefruit, Lemon, Bergamot","Sandalwood, Gunpowder Accord, Pepper","Musk, Ambergris, Cedarwood","Himalayan by Creed is a captivating fragrance that opens with grapefruit, lemon, creating a fresh and inviting first impression. The heart reveals sandalwood, gunpowder accord, adding depth and sophistication, while the base of musk, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
198,CREED,VIKING,"Pink Pepper, Mint, Bergamot","Lavender, Clove, Rose","Vetiver, Sandalwood, Patchouli","Viking by Creed is a captivating fragrance that opens with pink pepper, mint, creating a fresh and inviting first impression. The heart reveals lavender, clove, adding depth and sophistication, while the base of vetiver, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
199,CREED,MILLESIME IMPERIAL,"Fruit Notes, Sea Salt, Bergamot","Iris, Marine Notes, Citrus","Musk, Woody Notes, Amber","Millesime Imperial by Creed is a captivating fragrance that opens with fruit notes, sea salt, creating a fresh and inviting first impression. The heart reveals iris, marine notes, adding depth and sophistication, while the base of musk, woody notes leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
200,CREED,VIRGIN ISLAND WATER,"Coconut, Lime, Bergamot","Ylang-Ylang, Jasmine, Ginger","Musk, Sugar Cane, Rum","Virgin Island Water by Creed is a captivating fragrance that opens with coconut, lime, creating a fresh and inviting first impression. The heart reveals ylang-ylang, jasmine, adding depth and sophistication, while the base of musk, sugar cane leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
201,CREED,ORIGINAL VETIVER,"Ginger, Bergamot, Mandarin","Vetiver, Iris, Sandalwood","Musk, Ambergris, Cedarwood","Original Vetiver by Creed is a captivating fragrance that opens with ginger, bergamot, creating a fresh and inviting first impression. The heart reveals vetiver, iris, adding depth and sophistication, while the base of musk, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
202,CREED,WIND FLOWERS,"Jasmine, Orange Blossom, Peach","Tuberose, Rose, Iris","Musk, Praline, Sandalwood","Wind Flowers by Creed is a captivating fragrance that opens with jasmine, orange blossom, creating a fresh and inviting first impression. The heart reveals tuberose, rose, adding depth and sophistication, while the base of musk, praline leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
203,CREED,CARMINA 2023,"Black Cherry, Saffron","Rose, Peony, Violet","Amber, Cashmere Wood, Musk","Carmina 2023 by Creed is a captivating fragrance that opens with black cherry, saffron, creating a fresh and inviting first impression. The heart reveals rose, peony, adding depth and sophistication, while the base of amber, cashmere wood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
204,CREED,AVENTUS ABSOLU,"Pineapple, Grapefruit, Bergamot","Patchouli, Vetiver, Pepper","Ambergris, Musk, Oakmoss","Aventus Absolu by Creed is a captivating fragrance that opens with pineapple, grapefruit, creating a fresh and inviting first impression. The heart reveals patchouli, vetiver, adding depth and sophistication, while the base of ambergris, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
205,CREED,EROLFA,"Citrus, Lemon, Bergamot","Ginger, Pepper, Jasmine","Ambergris, Musk, Cedarwood","Erolfa by Creed is a captivating fragrance that opens with citrus, lemon, creating a fresh and inviting first impression. The heart reveals ginger, pepper, adding depth and sophistication, while the base of ambergris, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
206,CREED,HIMALAYA,"Grapefruit, Lemon, Bergamot","Sandalwood, Pepper, Vetiver","Musk, Ambergris, Cedarwood","Himalaya by Creed is a captivating fragrance that opens with grapefruit, lemon, creating a fresh and inviting first impression. The heart reveals sandalwood, pepper, adding depth and sophistication, while the base of musk, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
207,CREED,LOVE IN THE WHITE,"Orange Peel, Apple, Rice Husk","Iris, Magnolia, Jasmine","Vanilla, Ambergris, Sandalwood","Love In The White by Creed is a captivating fragrance that opens with orange peel, apple, creating a fresh and inviting first impression. The heart reveals iris, magnolia, adding depth and sophistication, while the base of vanilla, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
208,CRISTIANO RONALDO,CR7 ORIGINS,"Pineapple, Mandarin, Bay Leaf","Lavender, Clary Sage, Geranium","Patchouli, Vetiver, Amber","Cr7 Origins by Cristiano Ronaldo is a captivating fragrance that opens with pineapple, mandarin, creating a fresh and inviting first impression. The heart reveals lavender, clary sage, adding depth and sophistication, while the base of patchouli, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
209,DAVIDOFF,COOLWATER MEN,"Mint, Lavender, Green Notes","Jasmine, Neroli, Geranium","Musk, Amber, Sandalwood","Coolwater Men by Davidoff is a captivating fragrance that opens with mint, lavender, creating a fresh and inviting first impression. The heart reveals jasmine, neroli, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
210,DAVIDOFF,COOLWATER WOMEN,"Citrus, Melon, Pineapple","Lily, Jasmine, Lotus","Musk, Vanilla, Sandalwood","Coolwater Women by Davidoff is a captivating fragrance that opens with citrus, melon, creating a fresh and inviting first impression. The heart reveals lily, jasmine, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
211,DAVIDOFF,WOOD BLEND,"Lemon, Cardamom","Saffron, Nutmeg, Leather","Amber, Cedarwood, Musk","Wood Blend by Davidoff is a captivating fragrance that opens with lemon, cardamom, creating a fresh and inviting first impression. The heart reveals saffron, nutmeg, adding depth and sophistication, while the base of amber, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
212,DAVIDOFF,LEATHER BLEND,"Pepper, Saffron","Leather, Rose, Patchouli","Amber, Musk, Wood","Leather Blend by Davidoff is a captivating fragrance that opens with pepper, saffron, creating a fresh and inviting first impression. The heart reveals leather, rose, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
213,DAVIDOFF,AGARBLEND,"Spices, Bergamot","Oud, Rose, Patchouli","Amber, Musk, Resin","Agarblend by Davidoff is a captivating fragrance that opens with spices, bergamot, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
214,DAVIDOFF,CHAMPION ENERGY,"Bergamot, Grapefruit","Galbanum, Spices","Cedarwood, Oakmoss, Musk","Champion Energy by Davidoff is a captivating fragrance that opens with bergamot, grapefruit, creating a fresh and inviting first impression. The heart reveals galbanum, spices, adding depth and sophistication, while the base of cedarwood, oakmoss leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
215,DAVIDOFF,THE GAME,"Gin, Juniper, Iris","Woody Notes, Labdanum","Ebony Wood, Patchouli, Musk","The Game by Davidoff is a captivating fragrance that opens with gin, juniper, creating a fresh and inviting first impression. The heart reveals woody notes, labdanum, adding depth and sophistication, while the base of ebony wood, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
216,DAVIDOFF,CHAMPION MEN,"Lemon, Bergamot","Galbanum, Clary Sage","Cedarwood, Oakmoss, Musk","Champion Men by Davidoff is a captivating fragrance that opens with lemon, bergamot, creating a fresh and inviting first impression. The heart reveals galbanum, clary sage, adding depth and sophistication, while the base of cedarwood, oakmoss leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
217,DAVIDOFF,COOLWATER GAME,"Grapefruit, Apple","Jasmine, Freesia","Musk, Cedarwood, Amber","Coolwater Game by Davidoff is a captivating fragrance that opens with grapefruit, apple, creating a fresh and inviting first impression. The heart reveals jasmine, freesia, adding depth and sophistication, while the base of musk, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
218,DAVIDOFF,COOLWATER NIGHT DIVE,"Mint, Citrus, Pistachio","Sea Notes, Sage","Sandalwood, Amber, Musk","Coolwater Night Dive by Davidoff is a captivating fragrance that opens with mint, citrus, creating a fresh and inviting first impression. The heart reveals sea notes, sage, adding depth and sophistication, while the base of sandalwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
219,DAVIDOFF,COOLWATER SEA ROSE,"Pear, Mandarin","Peony, Rose, Pink Pepper","Musk, Cedarwood, Amber","Coolwater Sea Rose by Davidoff is a captivating fragrance that opens with pear, mandarin, creating a fresh and inviting first impression. The heart reveals peony, rose, adding depth and sophistication, while the base of musk, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
220,DAVIDOFF,COOL WATER MEN INTENSE,"Green Mandarin, Coconut","Amber, Marine Notes","Musk, Sandalwood, Ambergris","Cool Water Men Intense by Davidoff is a captivating fragrance that opens with green mandarin, coconut, creating a fresh and inviting first impression. The heart reveals amber, marine notes, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
221,DAVIDOFF,COOL WATER WOMEN INTENSE,"Green Mandarin, Watermelon, Citrus","Jasmine, Coconut Nectar, Floral Notes","Musk, Sandalwood, Amber","Cool Water Women Intense by Davidoff is a captivating fragrance that opens with green mandarin, watermelon, creating a fresh and inviting first impression. The heart reveals jasmine, coconut nectar, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
222,DIOR,BOIS TALISMAN,"Bergamot, Pink Pepper","Cedarwood, Incense, Patchouli","Amber, Vanilla, Musk","Bois Talisman by Dior is a captivating fragrance that opens with bergamot, pink pepper, creating a fresh and inviting first impression. The heart reveals cedarwood, incense, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
223,DIOR,ROSE KABUKI,"Bergamot, Pink Pepper","Rose, Peony, Jasmine","Musk, Amber, Woody Notes","Rose Kabuki by Dior is a captivating fragrance that opens with bergamot, pink pepper, creating a fresh and inviting first impression. The heart reveals rose, peony, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
224,DIOR,BALLADE SAUVAGE,"Bergamot, Fig, Pink Pepper","Jasmine, Peach, Rose","Cedarwood, Amber, Labdanum","Ballade Sauvage by Dior is a captivating fragrance that opens with bergamot, fig, creating a fresh and inviting first impression. The heart reveals jasmine, peach, adding depth and sophistication, while the base of cedarwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
225,DIOR,NEW LOOK 1974,"Aldehydes, Bergamot","Rose, Jasmine, Ylang-Ylang","Musk, Oakmoss, Sandalwood","New Look 1974 by Dior is a captivating fragrance that opens with aldehydes, bergamot, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of musk, oakmoss leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
226,DIOR,ROSE GIPSY,"Bergamot, Lemon","Rose, Geranium, Jasmine","Musk, Amber, Woody Notes","Rose Gipsy by Dior is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals rose, geranium, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
227,DIOR,SAUVAGE,"Bergamot, Pepper","Ambroxan, Lavender, Geranium","Cedarwood, Labdanum, Vetiver","Sauvage by Dior is a captivating fragrance that opens with bergamot, pepper, creating a fresh and inviting first impression. The heart reveals ambroxan, lavender, adding depth and sophistication, while the base of cedarwood, labdanum leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
228,DIOR,SAUVAGE ELIXIR,"Grapefruit, Cinnamon","Nutmeg, Lavender, Cardamom","Licorice, Amber, Sandalwood","Sauvage Elixir by Dior is a captivating fragrance that opens with grapefruit, cinnamon, creating a fresh and inviting first impression. The heart reveals nutmeg, lavender, adding depth and sophistication, while the base of licorice, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
229,DIOR,PURPLE OUDH,"Saffron, Orange","Oud, Rose, Patchouli","Amber, Musk, Sandalwood","Purple Oudh by Dior is a captivating fragrance that opens with saffron, orange, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
230,DIOR,TOBACOLOUR,"Honey, Tobacco Leaf","Plum, Amber, Spices","Tobacco, Tonka Bean, Vanilla","Tobacolour by Dior is a captivating fragrance that opens with honey, tobacco leaf, creating a fresh and inviting first impression. The heart reveals plum, amber, adding depth and sophistication, while the base of tobacco, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
231,DIOR,OUSH ISPAHAN,"Labdanum, Rose","Patchouli, Oud, Sandalwood","Amber, Musk, Resin","Oush Ispahan by Dior is a captivating fragrance that opens with labdanum, rose, creating a fresh and inviting first impression. The heart reveals patchouli, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
232,DIOR,AMBER NUIT,"Bergamot, Grapefruit","Rose, Pink Pepper","Ambergris, Cedarwood, Patchouli","Amber Nuit by Dior is a captivating fragrance that opens with bergamot, grapefruit, creating a fresh and inviting first impression. The heart reveals rose, pink pepper, adding depth and sophistication, while the base of ambergris, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
233,DIOR,DIOR HOMME,"Lavender, Bergamot","Iris, Cocoa, Amber","Sandalwood, Vetiver, Leather","Dior Homme by Dior is a captivating fragrance that opens with lavender, bergamot, creating a fresh and inviting first impression. The heart reveals iris, cocoa, adding depth and sophistication, while the base of sandalwood, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
234,DIOR,DIOR HOMME INTENSE,Lavender,"Iris, Ambrette","Pear, Vetiver, Cedarwood","Dior Homme Intense by Dior is a captivating fragrance that opens with lavender, creating a fresh and inviting first impression. The heart reveals iris, ambrette, adding depth and sophistication, while the base of pear, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
235,DIOR,PURE POISON,"Jasmine, Orange, Bergamot","Gardenia, Orange Blossom, Tuberose","Sandalwood, Amber, Musk","Pure Poison by Dior is a captivating fragrance that opens with jasmine, orange, creating a fresh and inviting first impression. The heart reveals gardenia, orange blossom, adding depth and sophistication, while the base of sandalwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
236,DIOR,FEHRENHIET,"Mandarin, Lavender, Nutmeg","Violet, Leather, Cedar","Vetiver, Amber, Tonka Bean","Fehrenhiet by Dior is a captivating fragrance that opens with mandarin, lavender, creating a fresh and inviting first impression. The heart reveals violet, leather, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
237,DIOR,DIOR ADDICT WOMEN,"Mandarin, Orange Blossom","Jasmine, Night Blooming Flower","Vanilla, Tonka Bean, Sandalwood","Dior Addict Women by Dior is a captivating fragrance that opens with mandarin, orange blossom, creating a fresh and inviting first impression. The heart reveals jasmine, night blooming flower, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
238,DIOR,POISON W,"Berry, Plum, Coriander","Tuberose, Jasmine, Orange Blossom","Opoponax, Amber, Sandalwood","Poison W by Dior is a captivating fragrance that opens with berry, plum, creating a fresh and inviting first impression. The heart reveals tuberose, jasmine, adding depth and sophistication, while the base of opoponax, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
