SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
160,CAROLINA HERRERA,BRONZE TONKA,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bronze Tonka by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
161,CAROLINA HERRERA,212 VIP BLACK EXTRA,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover 212 Vip Black Extra by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
162,CARTIER,PASHA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Pasha by Cartier, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
163,CARTIER,DECLARATION,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Declaration by Cartier, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
164,CHANEL,BLEU DE CHANEL L'EXCLUSIF,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bleu De Chanel L'Exclusif by Chanel, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
165,CHANEL,BLEU EAU DE PARFUM,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bleu Eau De Parfum by Chanel, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
166,CHANEL,BLEU DE CHANEL,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bleu De Chanel by Chanel, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
167,CHANEL,CHANEL NO.5,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Chanel No.5 by Chanel, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
168,CHANEL,COCO CHANEL MADEMOISELLE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Coco Chanel Mademoiselle by Chanel, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
169,CHANEL,ALLURE CHANEL SPORT,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Allure Chanel Sport by Chanel, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
170,CHANEL,PLATINUM EGOIST,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Platinum Egoist by Chanel, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
171,CHANEL,No. 1 L’eau Rouge,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover No. 1 L’Eau Rouge by Chanel, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
172,CHANEL,PARIS VENISE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Paris Venise by Chanel, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
173,CHANEL,CHANCE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Chance by Chanel, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
174,CHANEL,COCO CHANEL,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Coco Chanel by Chanel, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
175,CHERGUI,SERGE LUTENS,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Serge Lutens by Chergui, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
176,CHOPARD,OUD MALIKI,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Maliki by Chopard, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
177,CHOPARD,AMBER MALIKI,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Amber Maliki by Chopard, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
178,CLINIQUE,HAPPY MEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Happy Men by Clinique, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
179,CLINIQUE,HAPPY WOMEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Happy Women by Clinique, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
180,CLIVE CHRISTIAN,TOWN&COUNTRY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Town&Country by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
181,CLIVE CHRISTIAN,BLONDE AMBER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Blonde Amber by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
182,CLIVE CHRISTIAN,RED TEA,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Red Tea by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
183,CLIVE CHRISTIAN,MATSUTAKE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Matsutake by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
184,CLIVE CRISTIAN,NO.1,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover No.1 by Clive Cristian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
185,COMMES DE GARCONS,WONDERWOOD,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wonderwood by Commes De Garcons, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
186,CREATION,PISTCHIO MUSK,"Bergamot, Aldehydes","White Floral, Powdery Notes","Musk, Sandalwood, Amber","Discover Pistchio Musk by Creation, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of white floral and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
187,CREATION,OLD SPICE SHULTON,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Old Spice Shulton by Creation, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
188,CREATION,MUKHALAT AZRAAN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Mukhalat Azraan by Creation, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
189,CREATION,MUKHALAT AL LAVAL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mukhalat Al Laval by Creation, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
190,CREED,CENTAURUS,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Centaurus by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
191,CREED,ROYAL OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Royal Oud by Creed, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
192,CREED,OUD ZARIAN,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Zarian by Creed, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
193,CREED,AVENTUS,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Aventus by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
194,CREED,SILVER MOUNTAIN WATER,"Bergamot, Lemon","Iris, Violet","Musk, Cedar, Amber","Discover Silver Mountain Water by Creed, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of iris and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
195,CREED,GREEN IRISH TWEED,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Green Irish Tweed by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
196,CREED,ROYAL WATER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Royal Water by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
197,CREED,HIMALAYAN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Himalayan by Creed, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
198,CREED,VIKING,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Viking by Creed, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
199,CREED,MILLESIME IMPERIAL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Millesime Imperial by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
200,CREED,VIRGIN ISLAND WATER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Virgin Island Water by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
201,CREED,ORIGINAL VETIVER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Original Vetiver by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
202,CREED,WIND FLOWERS,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wind Flowers by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
203,CREED,CARMINA 2023,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Carmina 2023 by Creed, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
204,CREED,AVENTUS ABSOLU,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Aventus Absolu by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
205,CREED,EROLFA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Erolfa by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
206,CREED,HIMALAYA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Himalaya by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
207,CREED,LOVE IN THE WHITE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Love In The White by Creed, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
208,CRISTIANO RONALDO,CR7 ORIGINS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Cr7 Origins by Cristiano Ronaldo, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
209,DAVIDOFF,COOLWATER MEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Coolwater Men by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
210,DAVIDOFF,COOLWATER WOMEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Coolwater Women by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
211,DAVIDOFF,WOOD BLEND,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wood Blend by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
212,DAVIDOFF,LEATHER BLEND,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Leather Blend by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
213,DAVIDOFF,AGARBLEND,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Agarblend by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
214,DAVIDOFF,CHAMPION ENERGY,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Champion Energy by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
215,DAVIDOFF,THE GAME,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover The Game by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
216,DAVIDOFF,CHAMPION MEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Champion Men by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
217,DAVIDOFF,COOLWATER GAME,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Coolwater Game by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
218,DAVIDOFF,COOLWATER NIGHT DIVE,"Apple, Bergamot","Cinnamon, Lavender","Vanilla, Tonka Bean, Amber","Discover Coolwater Night Dive by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of cinnamon and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
219,DAVIDOFF,COOLWATER SEA ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Coolwater Sea Rose by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
220,DAVIDOFF,COOL WATER MEN INTENSE,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Cool Water Men Intense by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
221,DAVIDOFF,COOL WATER WOMEN INTENSE,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Cool Water Women Intense by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
222,DIOR,BOIS TALISMAN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bois Talisman by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
223,DIOR,ROSE KABUKI,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose Kabuki by Dior, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
224,DIOR,BALLADE SAUVAGE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Ballade Sauvage by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
225,DIOR,NEW LOOK 1974,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover New Look 1974 by Dior, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
226,DIOR,ROSE GIPSY,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose Gipsy by Dior, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
227,DIOR,SAUVAGE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Sauvage by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
228,DIOR,SAUVAGE ELIXIR,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Sauvage Elixir by Dior, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
229,DIOR,PURPLE OUDH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Purple Oudh by Dior, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
230,DIOR,TOBACOLOUR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Tobacolour by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
231,DIOR,OUSH ISPAHAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Oush Ispahan by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
232,DIOR,AMBER NUIT,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Amber Nuit by Dior, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
233,DIOR,DIOR HOMME,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Dior Homme by Dior, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
234,DIOR,DIOR HOMME INTENSE,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Dior Homme Intense by Dior, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
235,DIOR,PURE POISON,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Pure Poison by Dior, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
236,DIOR,FEHRENHIET,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Fehrenhiet by Dior, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
