SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
133,CALVIN KLEIN,CK EUPHORIA MEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Ck Euphoria Men by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
134,CALVIN KLEIN,CK EUPHORIA WOMEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Ck Euphoria Women by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
135,CALVIN KLEIN,DEFY,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Defy by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
136,CALVIN KLEIN,ESCAPE MEN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Escape Men by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
137,CALVIN KLEIN,OBSESSION,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Obsession by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
138,CALVIN KLEIN,ETERNITY AIR,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Eternity Air by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
139,CALVIN KLEIN,OBSESSION NIGHT,"Apple, Bergamot","Cinnamon, Lavender","Vanilla, Tonka Bean, Amber","Discover Obsession Night by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of cinnamon and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
140,CALVIN KLEIN,ESCAPE WOMEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Escape Women by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
141,CALVIN KLEIN,SHOCK MEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Shock Men by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
142,CALVIN KLEIN,CK 2,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Ck 2 by Calvin Klein, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
143,CAROLINA HERRERA,LA BOMBA,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover La Bomba by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
144,CAROLINA HERRERA,CH MEN WILD LOVE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Ch Men Wild Love by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
145,CAROLINA HERRERA,STALLION LEATHER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Stallion Leather by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
146,CAROLINA HERRERA,AMETHYST HAZE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Amethyst Haze by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
147,CAROLINA HERRERA,212 CH HEROS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover 212 Ch Heros by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
148,CAROLINA HERRERA,212 VIP MEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover 212 Vip Men by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
149,CAROLINA HERRERA,212 VIP WOMEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover 212 Vip Women by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
150,CAROLINA HERRERA,212 VIP ROSE WOMEN,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover 212 Vip Rose Women by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
151,CAROLINA HERRERA,CK BE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Ck Be by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
152,CAROLINA HERRERA,GOLD MYRH ABSOLUTE,"Mandarin, Saffron","Rose, Cinnamon","Amber, Vanilla, Oud","Discover Gold Myrh Absolute by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
153,CAROLINA HERRERA,212 VIP BLACK,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover 212 Vip Black by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
154,CAROLINA HERRERA,212 SEXY MEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover 212 Sexy Men by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
155,CAROLINA HERRERA,212 NYC MEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover 212 Nyc Men by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
156,CAROLINA HERRERA,GOOD GIRL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Good Girl by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
157,CAROLINA HERRERA,NIGHTFALL PATCHOL,"Apple, Bergamot","Cinnamon, Lavender","Vanilla, Tonka Bean, Amber","Discover Nightfall Patchol by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of cinnamon and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
158,CAROLINA HERRERA,BAD BOY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bad Boy by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
159,CAROLINA HERRERA,MEN PRIVE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Men Prive by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
160,CAROLINA HERRERA,BRONZE TONKA,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bronze Tonka by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
161,CAROLINA HERRERA,212 VIP BLACK EXTRA,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover 212 Vip Black Extra by Carolina Herrera, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
162,CARTIER,PASHA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Pasha by Cartier, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
163,CARTIER,DECLARATION,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Declaration by Cartier, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
164,CHANEL,BLEU DE CHANEL L'EXCLUSIF,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bleu De Chanel L'Exclusif by Chanel, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
165,CHANEL,BLEU EAU DE PARFUM,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bleu Eau De Parfum by Chanel, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
166,CHANEL,BLEU DE CHANEL,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bleu De Chanel by Chanel, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
167,CHANEL,CHANEL NO.5,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Chanel No.5 by Chanel, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
168,CHANEL,COCO CHANEL MADEMOISELLE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Coco Chanel Mademoiselle by Chanel, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
169,CHANEL,ALLURE CHANEL SPORT,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Allure Chanel Sport by Chanel, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
170,CHANEL,PLATINUM EGOIST,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Platinum Egoist by Chanel, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
171,CHANEL,No. 1 L’eau Rouge,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover No. 1 L’Eau Rouge by Chanel, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
172,CHANEL,PARIS VENISE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Paris Venise by Chanel, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
173,CHANEL,CHANCE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Chance by Chanel, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
174,CHANEL,COCO CHANEL,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Coco Chanel by Chanel, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
175,CHERGUI,SERGE LUTENS,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Serge Lutens by Chergui, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
176,CHOPARD,OUD MALIKI,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Maliki by Chopard, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
177,CHOPARD,AMBER MALIKI,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Amber Maliki by Chopard, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
178,CLINIQUE,HAPPY MEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Happy Men by Clinique, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
179,CLINIQUE,HAPPY WOMEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Happy Women by Clinique, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
180,CLIVE CHRISTIAN,TOWN&COUNTRY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Town&Country by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
181,CLIVE CHRISTIAN,BLONDE AMBER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Blonde Amber by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
182,CLIVE CHRISTIAN,RED TEA,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Red Tea by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
183,CLIVE CHRISTIAN,MATSUTAKE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Matsutake by Clive Christian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
184,CLIVE CRISTIAN,NO.1,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover No.1 by Clive Cristian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
185,COMMES DE GARCONS,WONDERWOOD,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wonderwood by Commes De Garcons, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
186,CREATION,PISTCHIO MUSK,"Bergamot, Aldehydes","White Floral, Powdery Notes","Musk, Sandalwood, Amber","Discover Pistchio Musk by Creation, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of white floral and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
187,CREATION,OLD SPICE SHULTON,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Old Spice Shulton by Creation, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
188,CREATION,MUKHALAT AZRAAN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Mukhalat Azraan by Creation, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
189,CREATION,MUKHALAT AL LAVAL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mukhalat Al Laval by Creation, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
190,CREED,CENTAURUS,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Centaurus by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
191,CREED,ROYAL OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Royal Oud by Creed, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
192,CREED,OUD ZARIAN,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Zarian by Creed, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
193,CREED,AVENTUS,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Aventus by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
194,CREED,SILVER MOUNTAIN WATER,"Bergamot, Lemon","Iris, Violet","Musk, Cedar, Amber","Discover Silver Mountain Water by Creed, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of iris and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
195,CREED,GREEN IRISH TWEED,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Green Irish Tweed by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
196,CREED,ROYAL WATER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Royal Water by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
197,CREED,HIMALAYAN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Himalayan by Creed, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
198,CREED,VIKING,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Viking by Creed, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
199,CREED,MILLESIME IMPERIAL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Millesime Imperial by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
200,CREED,VIRGIN ISLAND WATER,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Virgin Island Water by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
201,CREED,ORIGINAL VETIVER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Original Vetiver by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
202,CREED,WIND FLOWERS,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wind Flowers by Creed, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
203,CREED,CARMINA 2023,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Carmina 2023 by Creed, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
204,CREED,AVENTUS ABSOLU,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Aventus Absolu by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
205,CREED,EROLFA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Erolfa by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
206,CREED,HIMALAYA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Himalaya by Creed, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
207,CREED,LOVE IN THE WHITE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Love In The White by Creed, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
208,CRISTIANO RONALDO,CR7 ORIGINS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Cr7 Origins by Cristiano Ronaldo, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
209,DAVIDOFF,COOLWATER MEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Coolwater Men by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
210,DAVIDOFF,COOLWATER WOMEN,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Coolwater Women by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
211,DAVIDOFF,WOOD BLEND,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Wood Blend by Davidoff, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
